xflr5 v6.47

Plane name :, Plane Name
Polar name :, T1-82.3 m/s-LLT-1.0kg-x0.0m
Freestream speed :, 82.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   17.500,     0.000,   1.461683,   0.062898,   0.021614,   0.084512,   0.000000,   0.000000,  -0.557145,  -0.000000,  -0.000000,   82.3100,    0.4458
   18.000,     0.000,   1.474241,   0.064041,   0.023359,   0.087400,   0.000000,   0.000000,  -0.559731,  -0.000000,  -0.000000,   82.3100,    0.4413
   18.500,     0.000,   1.485805,   0.065126,   0.025379,   0.090505,   0.000000,   0.000000,  -0.562308,  -0.000000,  -0.000000,   82.3100,    0.4372
   19.000,     0.000,   1.496596,   0.066181,   0.027576,   0.093757,   0.000000,   0.000000,  -0.564849,  -0.000000,  -0.000000,   82.3100,    0.4334
   19.500,     0.000,   1.507441,   0.067185,   0.029909,   0.097093,   0.000000,   0.000000,  -0.567618,  -0.000000,  -0.000000,   82.3100,    0.4297
   20.000,     0.000,   1.518264,   0.068256,   0.032363,   0.100619,   0.000000,   0.000000,  -0.570600,  -0.000000,  -0.000000,   82.3100,    0.4264
   20.500,     0.000,   1.526097,   0.069139,   0.035294,   0.104433,   0.000000,   0.000000,  -0.572695,  -0.000000,  -0.000000,   82.3100,    0.4232
   21.000,     0.000,   1.530505,   0.069699,   0.038755,   0.108453,   0.000000,   0.000000,  -0.573709,  -0.000000,  -0.000000,   82.3100,    0.4203


